Customer id,Age,Gender,Location,Email Opened,Email Clicked,Product page visit,Discount offered,Purchased
49,26,0,Brisbane,1,1,1,0,1
50,36,0,Perth,0,1,3,1,1
51,58,0,Brisbane,0,0,5,0,1
52,39,1,Melbourne,1,1,3,0,0
53,63,1,Auckland,1,0,7,0,1
54,41,0,Brisbane,0,0,1,1,1
55,56,1,Auckland,0,0,1,0,1
56,42,0,Sydney,1,0,2,0,0
57,30,0,Melbourne,1,0,0,0,0
58,29,1,Auckland,1,1,8,1,0
59,61,0,Perth,1,0,8,0,0
60,65,1,Melbourne,0,0,7,1,0
61,58,0,Sydney,1,1,9,1,1
62,69,1,Perth,0,1,7,1,1
63,66,1,Melbourne,1,0,6,0,1
64,17,1,Brisbane,0,0,1,0,0
65,51,1,Melbourne,1,0,4,0,0
66,65,1,Perth,0,0,8,0,0
67,21,1,Auckland,1,0,6,1,1
68,35,0,Auckland,1,0,5,0,1
69,23,0,Melbourne,0,1,3,0,1
70,53,1,Melbourne,0,1,8,1,0
71,32,1,Sydney,0,0,4,1,0
72,18,0,Brisbane,1,1,6,0,1
73,39,0,Sydney,0,0,6,1,0
74,28,0,Sydney,1,0,1,0,0
75,64,0,Auckland,0,0,7,0,0
76,23,0,Auckland,1,0,3,1,0
77,40,1,Perth,0,1,5,0,0
78,67,0,Sydney,0,0,8,1,0
79,16,0,Perth,0,0,4,1,1
80,34,0,Melbourne,0,1,7,1,1
81,42,1,Perth,1,0,4,0,0
82,61,0,Auckland,1,1,6,1,0
83,21,0,Sydney,1,1,0,1,0
84,58,1,Auckland,1,1,7,1,1
85,22,1,Melbourne,0,1,8,0,0
86,61,0,Brisbane,1,1,3,1,1
87,49,1,Sydney,1,1,0,0,1
88,28,0,Auckland,1,1,8,0,1
89,31,0,Brisbane,0,0,4,0,0
90,50,1,Melbourne,1,0,9,0,0
91,64,0,Brisbane,1,0,2,0,0
92,54,1,Auckland,1,0,0,0,0
93,18,1,Auckland,1,1,1,0,1
94,16,1,Melbourne,0,1,7,1,0
95,20,1,Melbourne,0,0,5,0,0
96,68,0,Brisbane,0,0,8,0,0
97,56,0,Brisbane,0,1,3,1,0
98,18,0,Auckland,1,0,3,0,1
99,68,1,Melbourne,1,1,2,1,1
100,43,0,Perth,1,1,9,1,0
101,32,1,Melbourne,0,0,6,0,1
102,40,0,Sydney,1,0,0,1,1
103,58,1,Sydney,0,0,0,0,0
104,48,0,Melbourne,1,1,9,1,1
105,24,0,Brisbane,1,0,3,0,1
106,50,1,Sydney,0,0,2,1,0
107,28,0,Auckland,1,1,0,0,0
108,45,1,Auckland,1,0,7,0,0
109,62,1,Auckland,1,1,3,1,1
110,29,0,Melbourne,1,1,2,0,0
111,22,0,Sydney,0,0,0,0,0
112,28,0,Brisbane,1,1,2,0,0
113,37,1,Auckland,0,0,2,0,1
114,54,1,Brisbane,1,0,1,1,1
115,35,1,Auckland,0,0,0,0,0
116,30,1,Melbourne,1,1,4,0,0
117,59,1,Auckland,1,0,0,0,1
118,32,1,Melbourne,0,1,2,1,1
119,61,1,Sydney,0,0,4,1,1
120,67,1,Sydney,1,1,0,1,1
121,38,1,Brisbane,0,1,7,0,0
122,40,0,Auckland,1,1,0,0,1
123,39,1,Sydney,1,0,8,0,0
124,59,1,Perth,1,0,7,0,0
125,55,0,Perth,0,0,4,1,0
126,43,0,Brisbane,0,1,1,0,1
127,29,1,Sydney,1,1,9,1,1
128,59,0,Melbourne,1,0,8,0,1
129,15,0,Perth,1,0,5,0,1
130,39,1,Sydney,1,0,2,0,0
131,21,1,Melbourne,0,0,2,1,0
132,23,0,Auckland,0,1,0,1,0
133,38,1,Sydney,1,1,2,0,1
134,15,0,Auckland,0,0,8,0,1
135,58,1,Perth,0,1,5,0,0
136,22,1,Auckland,1,1,2,0,0
137,38,0,Perth,1,0,0,1,0
138,25,0,Brisbane,1,1,0,0,0
139,65,0,Brisbane,0,1,5,0,0
140,31,0,Perth,1,1,9,0,1
141,22,0,Melbourne,0,0,7,1,1
142,49,1,Brisbane,1,1,9,0,0
143,49,1,Melbourne,1,0,5,1,0
144,47,0,Melbourne,1,1,0,1,1
145,19,0,Melbourne,0,1,1,1,1
146,56,0,Sydney,0,0,1,0,0
147,53,1,Sydney,0,1,6,1,1
148,55,1,Melbourne,1,1,5,1,1
149,42,0,Perth,1,0,3,1,0
150,21,1,Brisbane,1,1,1,0,1
151,23,1,Auckland,1,0,9,1,1
152,22,0,Sydney,1,1,1,1,1
153,26,0,Sydney,1,1,1,1,0
154,48,1,Auckland,1,0,5,0,0
155,47,1,Melbourne,0,1,5,0,1
156,62,1,Auckland,0,0,6,0,1
157,69,1,Melbourne,0,0,1,0,0
158,37,1,Sydney,1,1,8,0,0
159,38,0,Auckland,0,1,2,1,0
160,51,1,Perth,0,0,8,0,0
161,49,0,Brisbane,1,0,5,0,1
162,58,0,Brisbane,1,0,6,1,1
163,54,1,Brisbane,0,1,8,1,0
164,36,0,Auckland,0,0,1,1,0
165,41,1,Melbourne,0,1,9,1,1
166,49,0,Sydney,0,0,7,0,1
167,15,1,Brisbane,0,1,2,0,1
168,49,0,Auckland,1,0,1,1,0
169,51,1,Brisbane,0,0,7,0,1
170,61,1,Melbourne,0,1,0,1,0
171,28,0,Perth,0,0,1,1,0
172,17,0,Perth,1,1,3,1,1
173,15,0,Sydney,0,1,7,0,1
174,19,1,Perth,1,1,4,0,1
175,40,0,Perth,1,0,0,1,0
176,69,0,Auckland,0,1,9,1,0
177,28,1,Auckland,0,1,8,0,0
178,53,1,Sydney,1,0,5,0,1
179,41,0,Sydney,1,0,1,1,1
180,23,0,Auckland,1,0,6,0,1
181,29,1,Perth,1,0,0,1,1
182,29,1,Melbourne,0,0,0,0,1
183,40,1,Perth,1,1,8,0,1
184,56,0,Perth,0,0,2,0,1
185,27,0,Melbourne,1,1,7,0,0
186,65,1,Sydney,1,1,4,1,0
187,46,1,Auckland,1,0,1,1,1
188,53,1,Sydney,0,0,1,1,0
189,63,0,Sydney,0,0,4,0,1
190,66,0,Sydney,1,1,1,1,1
191,46,0,Auckland,0,1,2,1,0
192,18,0,Sydney,0,1,9,1,1
193,44,1,Sydney,0,0,8,0,1
194,51,1,Brisbane,1,1,5,1,1
195,37,0,Perth,0,1,8,1,0
196,53,1,Brisbane,1,0,6,0,1
197,59,1,Auckland,0,1,0,1,0
198,29,0,Melbourne,1,0,1,0,0
199,57,1,Melbourne,0,0,8,1,1
200,43,0,Brisbane,1,1,2,0,1
201,50,0,Brisbane,0,1,7,1,0
202,27,0,Brisbane,0,0,6,0,1
203,46,1,Perth,0,1,5,1,1
204,21,0,Auckland,0,1,9,1,0
205,65,1,Sydney,1,1,7,0,0
206,36,1,Brisbane,1,0,7,0,1
207,42,0,Perth,0,1,9,1,0
208,16,0,Melbourne,0,0,7,1,1
209,56,0,Melbourne,1,1,0,0,1
210,59,0,Melbourne,1,1,6,0,0
211,67,0,Brisbane,0,0,7,1,1
212,20,1,Melbourne,0,1,1,1,0
213,42,1,Melbourne,1,1,3,0,1
214,42,1,Melbourne,0,0,5,0,0
215,58,0,Sydney,0,1,3,1,1
216,58,0,Melbourne,0,1,1,1,0
217,34,1,Perth,1,0,1,1,1
218,44,0,Brisbane,0,0,1,1,1
219,25,1,Sydney,1,1,1,1,0
220,69,1,Sydney,1,1,6,0,0
221,42,1,Brisbane,0,0,8,1,0
222,39,0,Melbourne,1,1,9,1,0
223,53,0,Melbourne,1,0,8,1,1
224,47,1,Auckland,1,1,5,0,0
225,15,0,Melbourne,0,1,9,1,1
226,41,0,Perth,0,0,2,0,1
227,66,0,Melbourne,1,1,6,1,0
228,27,1,Brisbane,1,1,7,0,1
229,55,1,Melbourne,0,1,8,0,0
230,17,1,Brisbane,0,0,3,0,1
231,53,1,Sydney,0,1,4,1,0
232,20,1,Auckland,0,1,0,1,1
233,22,0,Sydney,0,1,4,0,1
234,41,1,Brisbane,0,1,9,0,1
235,23,0,Auckland,0,1,6,0,0
236,51,1,Sydney,0,0,1,0,0
237,47,0,Melbourne,1,0,4,0,1
238,65,0,Melbourne,1,1,8,1,0
239,56,1,Auckland,0,0,2,1,0
240,58,0,Sydney,1,0,1,1,1
241,38,0,Perth,0,0,4,0,1
242,29,0,Perth,0,1,8,0,1
243,68,0,Perth,1,1,9,1,0
244,46,0,Sydney,1,0,3,1,1
245,46,0,Sydney,1,1,0,0,0
246,38,1,Sydney,1,0,5,1,1
247,55,0,Brisbane,0,0,8,0,1
248,66,1,Perth,1,1,3,0,0
249,63,0,Perth,0,0,8,0,0
250,63,0,Perth,0,0,6,0,1
251,66,0,Brisbane,0,0,0,1,0
252,26,0,Brisbane,1,1,5,0,1
253,53,0,Sydney,1,0,1,0,1
254,16,0,Perth,1,0,7,0,0
255,17,0,Perth,1,0,6,0,1
256,63,0,Melbourne,1,1,6,0,0
257,51,1,Melbourne,1,1,3,1,1
258,63,1,Melbourne,1,0,0,1,1
259,31,1,Brisbane,0,0,6,1,0
260,63,1,Sydney,0,1,4,0,1
261,16,0,Auckland,0,1,4,0,1
262,16,0,Perth,1,0,8,1,0
263,42,0,Melbourne,0,1,2,1,1
264,68,1,Perth,0,1,4,1,0
265,37,1,Perth,0,1,9,1,0
266,51,1,Perth,0,1,1,1,0
267,46,0,Sydney,1,1,4,1,0
268,47,0,Perth,0,0,4,1,1
269,15,1,Sydney,1,1,1,1,1
270,33,0,Auckland,1,1,8,1,1
271,16,0,Auckland,0,0,2,0,0
272,67,0,Brisbane,0,1,0,0,1
273,58,1,Perth,1,1,3,0,0
274,40,0,Melbourne,0,1,3,1,1
275,46,1,Brisbane,0,0,4,0,1
276,20,1,Brisbane,1,0,2,1,0
277,46,0,Auckland,1,1,7,1,0
278,69,0,Melbourne,1,0,6,0,1
279,18,0,Perth,0,1,0,0,0
280,69,1,Perth,0,1,0,0,0
281,25,1,Auckland,1,0,7,1,0
282,31,0,Sydney,0,1,4,0,0
283,52,0,Auckland,1,1,1,0,1
284,38,1,Melbourne,1,0,7,1,0
285,19,1,Sydney,1,0,7,1,0
286,66,1,Melbourne,0,1,6,1,0
287,48,1,Perth,0,1,6,1,1
288,20,1,Sydney,0,0,9,0,0
289,36,0,Melbourne,1,0,1,1,1
290,25,1,Perth,1,0,9,1,1
291,62,1,Melbourne,1,0,3,0,1
292,30,0,Sydney,1,0,8,0,1
293,47,1,Perth,0,1,8,1,0
294,23,1,Melbourne,0,0,1,0,0
295,20,0,Brisbane,1,0,9,0,0
296,30,1,Sydney,0,0,1,0,1
297,43,0,Sydney,1,0,1,0,1
298,17,1,Sydney,0,0,4,1,1
299,34,1,Perth,0,1,7,0,1
300,50,0,Sydney,0,1,2,1,0
301,33,1,Melbourne,1,1,8,1,1
302,40,1,Brisbane,0,0,0,1,1
303,17,0,Melbourne,0,0,4,1,1
304,33,1,Melbourne,0,1,7,0,0
305,34,1,Sydney,1,0,1,1,0
306,46,1,Brisbane,0,1,5,0,1
307,21,1,Brisbane,1,1,2,1,0
308,66,1,Brisbane,1,0,8,1,1
309,55,0,Brisbane,1,1,6,0,0
310,47,1,Auckland,1,1,8,0,1
311,54,1,Brisbane,1,1,5,1,0
312,53,0,Sydney,1,0,8,0,1
313,32,0,Brisbane,1,1,1,0,1
314,54,0,Melbourne,1,0,9,1,0
315,15,0,Auckland,0,0,1,0,0
316,25,1,Melbourne,0,0,3,1,1
317,42,1,Sydney,0,0,4,0,0
318,39,1,Sydney,1,0,9,1,1
319,64,1,Brisbane,1,0,8,1,1
320,37,1,Sydney,1,1,1,0,0
321,45,1,Auckland,1,0,7,1,0
322,44,1,Melbourne,1,1,4,1,1
323,56,0,Sydney,1,0,8,1,1
324,49,1,Sydney,0,0,4,0,1
325,21,0,Auckland,0,0,1,1,1
326,30,0,Perth,0,0,7,1,1
327,40,0,Perth,1,1,0,1,1
328,62,1,Auckland,0,0,2,0,0
329,66,1,Sydney,0,0,3,1,1
330,63,0,Auckland,1,1,9,0,1
331,16,1,Auckland,1,0,6,0,0
332,15,1,Perth,1,1,2,1,0
333,62,0,Brisbane,0,1,0,1,0
334,26,0,Sydney,0,0,3,0,1
335,19,1,Melbourne,0,1,7,1,0
336,51,0,Auckland,0,1,1,0,1
337,46,0,Perth,0,1,6,0,1
338,69,0,Brisbane,1,0,1,1,1
339,23,1,Sydney,0,0,0,1,1
340,55,1,Auckland,1,1,8,1,0
341,49,0,Perth,1,0,9,1,0
342,33,0,Auckland,0,0,2,0,0
343,62,1,Melbourne,1,1,5,0,1
344,30,1,Sydney,0,0,1,1,0
345,17,1,Sydney,1,1,8,1,1
346,34,1,Sydney,0,0,1,1,0
347,38,1,Sydney,1,1,4,1,1
348,68,1,Perth,0,1,4,1,1
349,47,0,Melbourne,0,1,9,0,0
350,38,0,Auckland,1,1,5,1,1
351,66,0,Perth,0,0,4,1,1
352,25,1,Brisbane,1,1,7,1,0
353,63,0,Sydney,1,0,8,0,1
354,22,0,Sydney,0,0,8,0,1
355,50,0,Auckland,0,1,6,1,1
356,52,0,Sydney,1,0,1,0,0
357,54,0,Sydney,0,1,2,0,1
358,34,0,Auckland,1,0,4,0,1
359,49,0,Melbourne,1,1,1,1,0
360,62,1,Perth,0,0,7,1,1
361,39,0,Melbourne,0,1,3,0,1
362,49,0,Auckland,0,1,6,0,1
363,39,1,Sydney,0,0,4,0,0
364,43,0,Sydney,1,0,8,0,1
365,32,1,Melbourne,1,0,9,0,1
366,60,0,Brisbane,0,0,2,0,0
367,32,1,Perth,1,1,3,1,1
368,16,0,Sydney,0,0,5,1,0
369,68,0,Auckland,1,1,6,0,1
370,49,0,Melbourne,1,0,7,0,1
371,30,0,Perth,1,0,7,0,0
372,55,0,Brisbane,1,1,0,1,1
373,50,1,Sydney,1,0,5,1,0
374,47,0,Melbourne,0,1,0,1,0
375,18,1,Sydney,1,0,0,0,1
376,47,0,Melbourne,0,1,3,0,0
377,28,0,Brisbane,1,0,8,1,0
378,35,0,Auckland,0,1,9,1,1
379,62,1,Auckland,1,1,1,1,1
380,34,1,Perth,0,1,3,0,0
381,22,1,Sydney,1,0,5,0,0
382,21,1,Sydney,1,0,7,0,1
383,17,1,Sydney,0,1,1,0,1
384,31,0,Auckland,0,1,0,0,1
385,47,0,Perth,1,1,2,1,1
386,62,1,Auckland,0,0,0,0,1
387,26,1,Melbourne,0,1,9,1,1
388,65,0,Sydney,0,1,0,0,1
389,36,0,Melbourne,0,1,4,1,1
390,69,1,Brisbane,1,1,9,0,1
391,36,1,Melbourne,1,1,8,1,0
392,60,0,Melbourne,1,0,6,0,0
393,44,1,Melbourne,1,1,4,0,0
394,52,0,Auckland,1,0,3,0,1
395,52,1,Melbourne,1,0,4,0,1
396,59,1,Sydney,0,1,4,1,0
397,65,0,Perth,0,1,4,0,0
398,68,0,Brisbane,0,1,1,0,0
399,22,1,Sydney,1,1,6,1,1
400,41,0,Perth,1,0,7,0,0
401,41,1,Sydney,1,0,4,1,1
402,48,1,Melbourne,1,0,1,0,1
403,35,0,Brisbane,1,0,7,1,0
404,44,0,Sydney,1,1,6,0,1
405,47,0,Brisbane,1,0,3,0,1
406,42,1,Auckland,1,0,7,1,1
407,61,0,Auckland,0,0,6,0,0
408,47,0,Melbourne,0,1,9,0,1
409,19,0,Melbourne,1,1,6,0,0
410,62,1,Auckland,0,1,4,1,0
411,33,0,Sydney,1,0,6,1,0
412,18,0,Perth,0,1,5,1,1
413,49,0,Perth,1,1,7,0,1
414,63,0,Auckland,0,1,0,1,0
415,31,1,Perth,0,1,8,1,1
416,58,1,Sydney,1,1,9,0,0
417,42,1,Perth,1,0,6,0,0
418,44,1,Perth,1,1,3,0,0
419,43,0,Auckland,0,1,1,1,0
420,60,1,Brisbane,1,1,6,1,1
421,67,0,Brisbane,1,1,7,1,1
422,20,1,Sydney,1,0,5,0,0
423,49,0,Brisbane,0,1,4,0,1
424,55,0,Melbourne,0,1,2,1,1
425,51,0,Auckland,0,0,0,0,0
426,38,1,Brisbane,1,1,2,1,1
427,43,1,Perth,0,1,3,0,0
428,63,1,Brisbane,1,0,7,1,0
429,60,0,Auckland,1,1,7,1,1
430,67,1,Perth,0,1,8,0,0
431,45,0,Perth,0,1,1,0,0
432,49,1,Auckland,1,0,0,0,0
433,47,1,Sydney,0,0,3,1,0
434,66,1,Sydney,1,1,6,1,1
435,35,1,Auckland,1,1,2,0,0
436,46,1,Auckland,0,1,8,0,0
437,37,0,Auckland,1,0,4,1,0
438,47,1,Perth,0,1,1,0,1
439,17,1,Perth,0,0,2,1,0
440,32,1,Auckland,1,0,5,1,1
441,39,0,Perth,1,0,6,0,1
442,56,1,Melbourne,0,0,9,0,1
443,45,1,Auckland,0,0,8,0,1
444,68,0,Perth,0,0,4,1,0
445,17,1,Sydney,0,0,4,1,0
446,54,0,Auckland,0,0,5,1,1
447,60,0,Auckland,0,1,4,0,1
448,38,1,Auckland,0,1,8,0,0
449,64,0,Brisbane,0,0,8,1,0
450,46,1,Auckland,1,0,4,1,0
451,61,0,Sydney,1,0,0,0,0
452,36,1,Perth,0,0,6,1,1
453,37,0,Auckland,0,1,8,1,1
454,16,0,Melbourne,1,0,3,1,0
455,41,0,Perth,0,1,0,0,1
456,56,1,Sydney,0,1,0,0,1
457,16,0,Brisbane,1,1,7,1,0
458,40,1,Sydney,1,1,2,0,0
459,31,1,Brisbane,1,0,1,0,1
460,54,0,Perth,1,1,5,1,1
461,47,1,Brisbane,0,1,1,0,0
462,23,1,Perth,1,1,3,0,0
463,57,0,Sydney,1,0,9,0,1
464,68,1,Sydney,1,0,0,0,1
465,62,1,Brisbane,0,1,7,0,1
466,53,0,Melbourne,1,1,7,1,1
467,43,0,Sydney,0,0,8,0,1
468,56,0,Brisbane,1,0,3,0,1
469,69,0,Auckland,0,1,0,1,0
470,40,1,Perth,1,0,5,0,1
471,49,1,Auckland,1,1,9,0,0
472,64,1,Auckland,1,0,3,1,0
473,39,0,Auckland,0,0,0,0,0
474,38,1,Brisbane,1,1,4,0,1
475,27,0,Sydney,1,1,9,0,1
476,21,1,Auckland,1,0,3,0,0
477,50,0,Brisbane,0,0,0,1,0
478,59,1,Sydney,1,0,6,0,0
479,34,1,Perth,1,1,9,0,1
480,15,0,Sydney,1,1,1,1,1
481,22,1,Sydney,1,0,5,0,0
482,60,1,Auckland,0,1,1,0,1
483,30,1,Brisbane,0,1,4,0,1
484,28,1,Melbourne,1,0,1,0,0
485,26,0,Perth,1,1,8,0,0
486,65,1,Brisbane,0,1,0,0,0
487,37,0,Auckland,0,1,1,1,0
488,29,0,Brisbane,0,0,7,1,1
489,42,0,Melbourne,0,1,8,1,1
490,48,1,Perth,0,0,0,0,1
491,16,0,Sydney,0,1,9,0,1
492,46,0,Perth,1,1,2,1,1
493,37,0,Melbourne,1,1,3,0,0
494,36,1,Perth,0,0,4,0,0
495,65,1,Perth,0,0,0,1,1
496,39,0,Auckland,0,1,4,1,1
497,36,0,Sydney,0,1,6,1,1
498,36,1,Melbourne,1,0,0,0,0
499,63,0,Auckland,0,1,2,0,1
500,66,1,Perth,1,0,7,0,0
501,56,0,Perth,1,0,3,1,1
502,20,1,Brisbane,0,1,1,1,1
503,29,1,Auckland,0,1,2,1,0
504,68,1,Melbourne,0,1,6,1,0
505,57,0,Melbourne,1,0,6,0,1
506,51,0,Melbourne,0,1,7,1,0
507,47,1,Melbourne,1,1,6,1,1
508,22,1,Perth,0,0,2,0,1
509,67,0,Perth,0,0,1,0,1
510,58,1,Auckland,0,1,7,1,0
511,58,0,Sydney,1,1,3,0,0
512,19,1,Melbourne,0,0,7,1,1
513,53,1,Perth,1,0,1,1,0
514,18,0,Auckland,1,1,7,0,0
515,20,0,Melbourne,0,1,7,1,0
516,59,1,Sydney,0,0,9,0,1
517,46,0,Melbourne,1,0,5,0,1
518,66,1,Brisbane,1,0,6,0,0
519,44,0,Melbourne,1,0,6,0,0
520,61,1,Brisbane,0,1,2,0,0
521,49,0,Sydney,0,1,0,1,1
522,69,0,Brisbane,0,1,7,1,0
523,54,1,Sydney,0,1,5,1,0
524,66,1,Auckland,0,1,5,0,1
525,30,1,Brisbane,0,0,6,1,0
526,27,1,Melbourne,1,0,9,1,0
527,64,1,Melbourne,0,1,8,0,0
528,56,1,Auckland,1,1,6,0,0
529,44,0,Perth,1,1,2,1,0
530,33,1,Sydney,0,0,7,1,0
531,31,1,Perth,1,0,6,1,0
532,33,1,Perth,0,1,4,1,1
533,42,1,Auckland,1,1,6,1,1
534,69,0,Auckland,0,1,8,0,0
535,40,1,Brisbane,0,0,6,0,1
536,51,1,Brisbane,1,1,9,1,0
537,40,0,Brisbane,1,0,4,0,1
538,67,0,Brisbane,0,0,9,0,0
539,37,1,Brisbane,1,0,5,1,1
540,23,0,Melbourne,1,0,6,0,1
541,26,1,Auckland,1,0,2,0,1
542,67,0,Sydney,1,0,4,0,0
543,15,0,Sydney,1,0,8,1,1
544,15,0,Sydney,0,0,0,1,0
545,61,0,Sydney,0,0,5,0,0
546,48,0,Sydney,1,0,7,1,0
547,46,1,Melbourne,1,0,3,0,0
548,68,1,Auckland,1,1,0,0,0
549,62,0,Brisbane,0,0,0,0,1
550,39,0,Brisbane,0,0,2,1,0
551,54,0,Brisbane,1,0,9,1,0
552,59,1,Auckland,0,1,4,0,1
553,67,1,Auckland,0,1,3,1,1
554,15,1,Melbourne,0,0,8,0,1
555,30,0,Melbourne,1,0,3,1,0
556,53,1,Brisbane,0,1,2,0,1
557,19,0,Auckland,1,0,9,0,0
558,36,0,Brisbane,1,1,7,0,1
559,43,0,Melbourne,0,0,8,0,1
560,69,0,Brisbane,0,1,8,1,0
561,17,1,Melbourne,1,0,6,0,1
562,26,1,Perth,0,1,3,1,1
563,40,0,Sydney,0,1,8,0,0
564,30,0,Perth,1,0,1,1,0
565,65,0,Brisbane,1,0,5,1,0
566,51,0,Brisbane,1,1,9,0,1
567,36,0,Auckland,0,0,0,1,1
568,43,0,Sydney,0,0,2,0,0
569,28,1,Melbourne,1,1,6,0,0
570,42,1,Brisbane,0,1,7,1,1
571,19,1,Melbourne,1,1,6,1,0
572,61,0,Melbourne,0,0,9,0,0
573,63,1,Melbourne,1,0,4,1,0
574,44,1,Perth,0,1,9,1,0
575,60,1,Melbourne,1,0,1,1,0
576,66,1,Auckland,1,0,4,1,1
577,19,1,Perth,1,1,6,1,0
578,26,0,Perth,0,1,5,0,1
579,30,0,Brisbane,0,1,0,1,0
580,40,0,Sydney,1,0,8,1,1
581,40,1,Sydney,0,1,5,1,0
582,62,0,Brisbane,0,0,2,0,1
583,35,1,Sydney,1,0,2,1,0
584,53,0,Melbourne,0,1,5,0,1
585,50,1,Auckland,0,0,6,0,1
586,47,1,Melbourne,0,1,3,0,1
587,44,0,Sydney,1,0,6,0,0
588,51,0,Sydney,1,0,2,1,0
589,37,1,Auckland,0,1,2,0,0
590,24,1,Perth,0,0,3,0,1
591,68,0,Perth,0,1,1,0,0
592,19,0,Auckland,0,1,6,0,1
593,50,1,Perth,1,1,4,0,1
594,48,0,Sydney,0,1,8,1,1
595,66,0,Perth,1,0,8,1,0
596,45,0,Sydney,1,1,0,1,1
597,24,0,Brisbane,1,0,9,0,1
598,33,1,Melbourne,0,1,1,0,1
599,46,1,Perth,0,0,3,0,1
600,15,1,Brisbane,0,1,4,0,1
601,19,0,Perth,1,1,6,1,1
602,59,1,Brisbane,0,0,4,0,0
603,18,1,Auckland,1,0,0,1,1
604,30,0,Brisbane,0,0,3,1,0
605,38,0,Sydney,0,1,4,0,0
606,30,1,Auckland,0,1,1,1,0
607,69,1,Auckland,1,1,0,0,1
608,16,0,Sydney,1,0,1,0,0
609,63,0,Perth,0,1,3,1,1
610,42,0,Auckland,0,0,9,0,0
611,46,0,Perth,0,1,2,0,0
612,41,0,Melbourne,1,0,7,0,0
613,34,1,Brisbane,0,0,3,1,1
614,38,1,Brisbane,0,1,3,1,0
615,26,1,Sydney,1,0,4,1,0
616,64,1,Sydney,1,1,0,1,0
617,49,0,Brisbane,1,0,0,1,0
618,47,0,Melbourne,0,1,9,0,0
619,47,1,Sydney,1,0,4,1,1
620,65,0,Melbourne,1,1,5,0,0
621,57,1,Sydney,1,0,2,1,0
622,51,1,Auckland,1,0,3,1,1
623,26,1,Perth,0,1,7,0,0
624,17,1,Brisbane,1,1,4,0,0
625,15,1,Perth,1,1,8,0,1
626,47,1,Brisbane,0,0,1,1,1
627,54,0,Sydney,0,1,5,0,1
628,24,0,Perth,1,1,8,1,0
629,57,1,Melbourne,1,0,4,1,1
630,58,1,Sydney,1,0,4,1,0
631,43,1,Auckland,0,1,4,0,0
632,27,0,Perth,0,1,5,1,0
633,26,0,Perth,0,0,7,1,1
634,45,0,Auckland,0,0,7,1,1
635,60,1,Brisbane,0,1,0,0,0
636,16,0,Sydney,0,0,3,1,1
637,65,1,Auckland,1,0,8,0,1
638,64,0,Melbourne,0,1,5,0,0
639,49,1,Sydney,0,1,4,1,0
640,37,1,Auckland,1,1,4,1,0
641,31,1,Auckland,1,0,3,1,1
642,40,0,Perth,0,0,4,0,1
643,22,0,Perth,1,1,1,1,0
644,43,0,Perth,0,0,8,1,0
645,40,1,Sydney,1,1,2,1,0
646,24,1,Brisbane,1,1,0,0,1
647,40,0,Sydney,0,0,1,1,1
648,48,0,Perth,0,0,4,1,1
649,65,1,Perth,0,1,9,0,0
650,55,1,Sydney,0,0,4,1,1
651,21,0,Auckland,0,1,2,1,1
652,18,1,Auckland,0,1,5,0,0
653,67,0,Perth,0,0,3,0,1
654,64,0,Perth,1,0,1,0,1
655,59,1,Brisbane,0,0,3,1,1
656,25,0,Auckland,0,0,4,0,1
657,43,0,Brisbane,0,0,5,0,1
